"study.ID","synopsis","year","study.design.grouped","continent","country","lat","long","language","iso3c","country_wb","gdp_pc_const2015","income","income_group","bii","scenario"
"2","Natural Pest Control",1994,"Rand.exp.","Europe","United Kingdom",51.7718892,0.8289863,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"2","Farmland Conservation",1994,"CI","Europe","United Kingdom",51.7718892,0.8289863,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"2","Bird Conservation",1994,"After","Europe","United Kingdom",51.7718892,0.8289863,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"2","Bird Conservation",1994,"CI","Europe","United Kingdom",51.7718892,0.8289863,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"5","Control of Freshwater Invasive Species",2004,"BA","Europe","United Kingdom",51.262251,-0.467252,"English","GBR","United Kingdom",42434.8209023638,"High income","High",0.42565068602562,"historical"
"6","Shrubland and Heathland Conservation",2004,"Rand.exp.","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",42434.8209023638,"High income","High",0.42565068602562,"historical"
"9","Bird Conservation",2004,"CI","Europe","Italy",0,0,"English","ITA","Italy",33348.9744820456,"High income","High",0.618646681308746,"historical"
"16","Reptile Conservation",2000,"After","Europe","United Kingdom",51.504492,-1.128519,"English","GBR","United Kingdom",39297.1366317267,"High income","High",0.427216291427612,"historical"
"20","Bird Conservation",2003,"BA","Europe","United Kingdom",56.208208,-3.149518,"English","GBR","United Kingdom",41706.8303930126,"High income","High",0.428519397974014,"historical"
"22","Terrestrial Mammal Conservation",2004,"After","North America","Canada",53.933271,-116.576504,"English","CAN","Canada",40108.7587456658,"High income","High",0.907533466815948,"historical"
"25","Control of Freshwater Invasive Species",2002,"BA","Europe","United Kingdom",50.692718,-1.31671,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"27","Terrestrial Mammal Conservation",1994,"CI","Europe","United Kingdom",51.058701,-2.949907,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"27","Terrestrial Mammal Conservation",1994,"BA","Europe","United Kingdom",51.058701,-2.949907,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"27","Terrestrial Mammal Conservation",1994,"After","Europe","United Kingdom",51.058701,-2.949907,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"29","Marsh and Swamp Conservation",2000,"After","North America","Canada",53.760861,-98.813876,"English","CAN","Canada",37906.8601321366,"High income","High",0.908555448055267,"historical"
"29","Marsh and Swamp Conservation",2000,"Rand.exp.","North America","Canada",53.760861,-98.813876,"English","CAN","Canada",37906.8601321366,"High income","High",0.908555448055267,"historical"
