"study.ID","synopsis","year","study.design.grouped","continent","country","lat","long"
"2","Natural Pest Control",1994,"Rand.exp.","Europe","United Kingdom",51.7718892,0.8289863
"2","Farmland Conservation",1994,"CI","Europe","United Kingdom",51.7718892,0.8289863
"2","Bird Conservation",1994,"After","Europe","United Kingdom",51.7718892,0.8289863
"2","Bird Conservation",1994,"CI","Europe","United Kingdom",51.7718892,0.8289863
"5","Control of Freshwater Invasive Species",2004,"BA","Europe","United Kingdom",51.262251,-0.467252
"6","Shrubland and Heathland Conservation",2004,"Rand.exp.","Europe","United Kingdom",NA,NA
"9","Bird Conservation",2004,"CI","Europe","Italy",0,0
"16","Reptile Conservation",2000,"After","Europe","United Kingdom",51.504492,-1.128519
"20","Bird Conservation",2003,"BA","Europe","United Kingdom",56.208208,-3.149518
"22","Terrestrial Mammal Conservation",2004,"After","North America","Canada",53.933271,-116.576504
"25","Control of Freshwater Invasive Species",2002,"BA","Europe","United Kingdom",50.692718,-1.31671
"27","Terrestrial Mammal Conservation",1994,"CI","Europe","United Kingdom",51.058701,-2.949907
"27","Terrestrial Mammal Conservation",1994,"BA","Europe","United Kingdom",51.058701,-2.949907
"27","Terrestrial Mammal Conservation",1994,"After","Europe","United Kingdom",51.058701,-2.949907
"29","Marsh and Swamp Conservation",2000,"After","North America","Canada",53.760861,-98.813876
"29","Marsh and Swamp Conservation",2000,"Rand.exp.","North America","Canada",53.760861,-98.813876
"30","Farmland Conservation",2000,"CI","Europe","United Kingdom",57.804867,-5.455873
"30","Marsh and Swamp Conservation",2000,"Rand.exp.","Europe","United Kingdom",57.804867,-5.455873
"31","Shrubland and Heathland Conservation",2000,"BACI","Europe","The Netherlands",52.045155,5.871823
"31","Shrubland and Heathland Conservation",2000,"BA","Europe","The Netherlands",52.045155,5.871823
"33","Grassland Conservation",2002,"Rand.exp.","Europe","United Kingdom",52.187247,0.97078
"33","Farmland Conservation",2002,"After","Europe","United Kingdom",52.187247,0.97078
"35","Bird Conservation",2002,"BACI","Europe","Finland",0,0
"36","Farmland Conservation",2002,"After","Europe","United Kingdom",0,0
"36","Bird Conservation",2002,"After","Europe","United Kingdom",0,0
"37","Farmland Conservation",2002,"CI","Europe","United Kingdom",54.683638,-1.820178
"37","Bird Conservation",2002,"CI","Europe","United Kingdom",54.683638,-1.820178
"41","Farmland Conservation",1998,"After","Europe","United Kingdom",52.187247,0.97078
"42","Farmland Conservation",1997,"Rand.exp.","Europe","United Kingdom",52.613969,0.886402
"43","Bird Conservation",2002,"Rand.exp.","North America","United States",39.011902,-98.484246
"46","Terrestrial Mammal Conservation",2003,"After","Oceania","Australia",-27.672817,121.62831
"47","Bird Conservation",2004,"After","Europe","Portugal",NA,NA
"47","Bird Conservation",2004,"CI","Europe","Portugal",NA,NA
"48","Reptile Conservation",2004,"BACI","Oceania","Australia",-33.6813183,138.9382331
"49","Bird Conservation",2004,"BACI","Europe","United Kingdom",57.104165,-4.892033
"51","Terrestrial Mammal Conservation",2004,"After","South America","Brazil",-19.9638007,-40.5428918
"53","Grassland Conservation",2004,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"57","Bat Conservation",2003,"CI","North America","Canada",53.933271,-116.576504
"58","Bird Conservation",2001,"CI","Europe","United Kingdom",57.75,-7
"60","Marsh and Swamp Conservation",2003,"CI","North America","United States",32.157435,-82.907123
"60","Reptile Conservation",2003,"CI","North America","United States",32.157435,-82.907123
"60","Amphibian Conservation",2003,"CI","North America","United States",32.157435,-82.907123
"61","Terrestrial Mammal Conservation",2002,"After","Europe","United Kingdom",52.276193,0.096538
"63","Bee Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148
"63","Bee Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148
"63","Farmland Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148
"65","Bird Conservation",1998,"BACI","Europe","United Kingdom",NA,NA
"65","Farmland Conservation",1998,"BACI","Europe","United Kingdom",NA,NA
"68","Bird Conservation",2001,"BA","North America","Canada",52.939916,-73.549136
"70","Bird Conservation",2001,"CI","Europe","United Kingdom",NA,NA
"70","Farmland Conservation",2001,"CI","Europe","United Kingdom",NA,NA
"72","Bird Conservation",2001,"CI","Europe","United Kingdom",55.161813,-3.473314
"73","Butterfly and Moth Conservation",2001,"BACI","Europe","Sweden",58.3356809,15.7460192
"74","Farmland Conservation",2001,"After","Europe","United Kingdom",NA,NA
"77","Bird Conservation",2003,"CI","Oceania","New Zealand",0,0
"78","Farmland Conservation",1994,"CI","Europe","United Kingdom",51.761206,-1.246467
"80","Bird Conservation",1996,"CI","Oceania","New Zealand",-45.848916,167.675539
"84","Bee Conservation",2005,"After","Europe","United Kingdom",53.481518,-1.260882
"88","Bird Conservation",1996,"After","Europe","United Kingdom",57.583697,-3.875126
"91","Bird Conservation",1996,"BA","Europe","United Kingdom",57.104165,-4.892033
"92","Bird Conservation",1997,"After","Africa","Uganda",NA,NA
"94","Bird Conservation",1998,"After","Europe","United Kingdom",52.276193,0.096538
"96","Marsh and Swamp Conservation",1998,"CI","Europe","Denmark",56.830742,9.493053
"96","Bird Conservation",1998,"CI","Europe","Denmark",56.830742,9.493053
"98","Terrestrial Mammal Conservation",1999,"After","Europe","United Kingdom",53.969009,-2.627691
"99","Reptile Conservation",2003,"After","Asia","Indonesia",3.35468,117.59654
"102","Reptile Conservation",1994,"BA","Oceania","New Zealand",-41.0900957,174.7811621
"106","Bird Conservation",2005,"After","Asia","China, P.R.",30.266292,120.153823
"107","Farmland Conservation",1995,"Rand.exp.","Europe","Czech Republic",50.037964,13.872414
"110","Bird Conservation",2000,"After","South America","Peru",-11.76687,-70.811995
"113","Amphibian Conservation",2004,"BACI","North America","United States",36.778261,-119.417932
"116","Farmland Conservation",1999,"After","Europe","United Kingdom",NA,NA
"118","Bird Conservation",2000,"BA","Europe","United Kingdom",0,0
"119","Bird Conservation",2003,"After","North America","United States",43.804133,-120.554201
"123","Bird Conservation",2005,"CI","North America","Canada",64.825544,-124.845733
"130","Bird Conservation",2003,"BACI","Europe","Spain",NA,NA
"131","Bird Conservation",2003,"After","North America","United States",40.551217,-85.602364
"133","Forest Conservation",2005,"CI","Asia","China, P.R.",0,0
"136","Terrestrial Mammal Conservation",2005,"BACI","Europe","United Kingdom",51.761206,-1.246467
"141","Bat Conservation",2006,"After","Europe","Spain",41.8486553,-1.6606814
"143","Bird Conservation",2005,"BA","Asia","Japan",26.212401,127.680932
"144","Bird Conservation",2003,"After","North America","United States",19.896766,-155.582782
"147","Bird Conservation",2005,"After","Europe","Estonia",NA,NA
"148","Bird Conservation",2001,"After","North America","United States",NA,NA
"151","Terrestrial Mammal Conservation",1996,"Rand.exp.","North America","United States",40.417287,-82.907123
"157","Terrestrial Mammal Conservation",2005,"After","Europe","Russia",47.720784,136.9856651
"158","Amphibian Conservation",1995,"After","Europe","United Kingdom",NA,NA
"158","Amphibian Conservation",1995,"BA","Europe","United Kingdom",NA,NA
"159","Amphibian Conservation",2004,"After","Europe","France",47.763284,-0.329969
"168","Bird Conservation",2005,"CI","North America","United States",47.817438,-94.004742
"169","Bird Conservation",2003,"CI","North America","United States",47.551493,-101.002012
"170","Bird Conservation",2003,"CI","North America","United States",47.551493,-101.002012
"171","Bird Conservation",2006,"BA","Oceania","Australia",-31.253218,146.921099
"171","Bird Conservation",2006,"After","Oceania","Australia",-31.253218,146.921099
"172","Bee Conservation",2006,"After","Europe","Switzerland",46.7998124,8.2355466
"172","Farmland Conservation",2006,"CI","Europe","Switzerland",46.7998124,8.2355466
"174","Bird Conservation",2006,"Rand.exp.","North America","Canada",53.933271,-116.576504
"176","Farmland Conservation",2003,"Rand.exp.","Europe","United Kingdom",NA,NA
"176","Bird Conservation",2003,"Rand.exp.","Europe","United Kingdom",NA,NA
"178","Bird Conservation",2005,"CI","Europe","Italy",37.39793,14.658782
"178","Bird Conservation",2005,"After","Europe","Italy",37.39793,14.658782
"179","Amphibian Conservation",2001,"BA","Europe","United Kingdom",NA,NA
"180","Amphibian Conservation",2004,"CI","North America","United States",44.391867,-93.480596
"184","Terrestrial Mammal Conservation",2005,"After","North America","United States",46.8779552,-110.3749738
"186","Bird Conservation",2004,"After","Africa","Mauritius",0,0
"190","Amphibian Conservation",2004,"CI","Oceania","Australia",-31.253218,146.921099
"191","Amphibian Conservation",2004,"After","North America","United States",27.664827,-81.515754
"191","Terrestrial Mammal Conservation",2004,"After","North America","United States",27.664827,-81.515754
"191","Reptile Conservation",2004,"After","North America","United States",27.664827,-81.515754
"191","Amphibian Conservation",2004,"BACI","North America","United States",27.664827,-81.515754
"191","Terrestrial Mammal Conservation",2004,"BACI","North America","United States",27.664827,-81.515754
"196","Bird Conservation",1999,"CI","Antarctic","Goudier Island",0,0
"197","Farmland Conservation",2005,"After","Europe","United Kingdom",0,0
"204","Terrestrial Mammal Conservation",2000,"CI","Europe","France",47.4146124,-1.6524211
"205","Bird Conservation",2001,"CI","Oceania","New Zealand",NA,NA
"206","Bird Conservation",2003,"BA","North America","Mexico",26.044445,-111.666072
"207","Bird Conservation",1999,"After","Asia","Saudi Arabia",0,0
"208","Reptile Conservation",2005,"CI","North America","United States",33.836081,-81.163725
"208","Reptile Conservation",2005,"After","North America","United States",33.836081,-81.163725
"210","Bird Conservation",2005,"BA","Europe","Spain",0,0
"211","Farmland Conservation",2002,"Rand.exp.","Europe","United Kingdom",59.062668,-2.868778
"211","Bird Conservation",2002,"Rand.exp.","Europe","United Kingdom",59.062668,-2.868778
"213","Reptile Conservation",2001,"After","North America","Saint Lucia",13.877088,-60.8885604
"214","Bird Conservation",1992,"After","Africa","Mauritius",NA,NA
"214","Bird Conservation",1992,"BA","Africa","Mauritius",NA,NA
"217","Terrestrial Mammal Conservation",2006,"CI","North America","United States",39.32098,-111.093731
"218","Reptile Conservation",2006,"CI","Europe","Greece",38.175368,20.569218
"221","Bird Conservation",2004,"CI","South America","Argentina",-26.585766,-60.954007
